Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
35838.0,25,46.56357446871039,53.4286759207235,43.36826944129895,46.86946107784431,45.991080941219444,9.0,0.0,2.0,E07,0.241
54791.0,20,63.11945700918154,81.63418940746578,50.29823404927024,62.20949263502455,52.196614534025066,7.0,0.0,2.0,E07,0.116
57509.0,21,48.06873183951533,58.540263707605575,43.71396408202225,42.709377901578456,41.28637888131559,11.0,0.0,2.0,E07,0.103
33218.0,23,102.98146240823193,154.16909991580792,68.38465451619614,53.552742616033754,55.74886805688413,3.0,0.0,2.0,E07,0.108
42739.0,15,56.01575772032961,53.988332797522716,46.77704342495669,47.58767507002801,47.14449648137705,8.0,0.0,2.0,E07,0.553
65693.0,29,43.37322371062622,53.70077716692197,48.45114459057057,46.7137669197755,46.89561632627372,15.0,0.0,2.0,E07,0.058
50706.0,26,39.97984967845676,33.16117454099568,40.01445483082679,52.62020766773163,49.27172910904367,15.0,0.0,2.0,E07,0.853
27443.0,32,41.42727103460665,37.2314200041134,45.159670651345515,55.26622989874925,53.69324002033077,9.0,0.0,2.0,E07,0.683
43928.0,12,41.23381417655759,49.84517053881535,50.34081514456299,47.17601380500432,48.18317244666905,12.0,0.0,2.0,E07,0.135
73901.0,19,58.45050205917495,50.99482763346831,48.99695899136821,49.14572864321608,43.50410825137755,10.0,0.0,2.0,E07,0.733
46377.0,11,77.03858715065041,100.21596223706771,102.08728107746344,47.140969162995596,50.98844309752126,5.0,0.0,2.0,E07,0.146
72001.0,24,36.901514835915364,34.599258262364444,32.16038147616496,48.43648449039882,45.06706985009602,21.0,0.0,2.0,E07,0.683
42115.0,18,48.64106345435517,44.40239069389648,48.5758081424374,56.27224513847967,47.49015997810564,9.0,0.0,2.0,E07,0.677
30193.0,34,71.74446123937264,43.00328933131973,88.5510054616352,84.21991701244814,56.51593163114581,4.0,0.0,2.0,E07,0.893
61235.0,9,33.21295688542919,29.44628421742861,36.642166297560834,47.768400604360025,46.630795239152334,23.0,0.0,2.0,E07,0.831
72249.0,10,34.451758602364684,33.58561277573204,34.00844544923449,56.48177339901478,47.226669912923924,24.0,0.0,2.0,E07,0.581
77146.0,22,43.779548465582344,40.65289531533646,45.821614011128304,52.876352902591016,44.746570127042226,16.0,0.0,2.0,E07,0.692
44541.0,30,90.41482809233214,86.8832445538495,84.91540545345481,55.47908232118758,48.741071847576144,4.0,0.0,2.0,E07,0.531
19990.0,12,38.19527490124123,45.391149497205234,33.78581255090372,56.8733986435569,61.61692724158886,9.0,0.0,3.0,E07,0.178
26269.0,42,49.84291042021563,47.18065731344459,29.456110896689506,52.54146806482364,45.00262234235688,6.0,0.0,3.0,E07,0.568
30373.0,53,44.85517393528916,44.86515781221688,61.52717894259096,57.62290502793296,54.89043356152361,8.0,0.0,3.0,E07,0.495
16778.0,28,27.396149066042646,26.164164120128415,25.728735987115023,54.70153496304719,62.5846349802239,13.0,0.0,3.0,E07,0.605
31359.0,49,72.39407150179083,58.61447472793299,68.71414430723543,64.4326923076923,54.02180074885398,4.0,0.0,3.0,E07,0.722
50939.0,25,40.88845494744354,44.92762794631644,38.61193674635422,58.7426326129666,53.9216021065191,14.0,0.0,3.0,E07,0.269
42514.0,9,42.682224109282316,46.76505897476601,48.977381139993675,54.51815642458101,58.95168760778517,11.0,0.0,3.0,E07,0.327
48407.0,21,34.431392428401494,29.953993703727892,30.870753605023666,58.45772266065389,56.39764904533056,18.0,0.0,3.0,E07,0.823
89846.0,17,41.737574710783555,36.683183875060664,45.64609592638077,58.88671397112797,50.76448771974142,20.0,0.0,3.0,E07,0.821
45806.0,39,33.8744884305389,33.313403991603366,29.757940119738617,46.687230514096186,49.56592728104276,18.0,0.0,3.0,E07,0.547
