Area_of_Cytoplasm,Label,Number_of_pbodies_cytoplasm,Number_of_pbodies_in_Nucleus,Number_of_pbodies_unshrunken_Nucleus,Number_of_pbodies_unshrunken_cytoplasm,SiteX,SiteY,Well
70706.0,27,28.0,0.0,1.0,27.0,1.0,4.0,F07
14923.0,47,2.0,0.0,0.0,2.0,1.0,4.0,F07
33459.0,20,9.0,0.0,0.0,9.0,1.0,4.0,F07
35363.0,12,13.0,1.0,2.0,12.0,1.0,4.0,F07
56274.0,37,12.0,1.0,1.0,12.0,1.0,4.0,F07
27355.0,9,11.0,0.0,0.0,11.0,1.0,4.0,F07
35026.0,39,13.0,0.0,1.0,12.0,1.0,4.0,F07
57603.0,25,15.0,0.0,0.0,15.0,1.0,4.0,F07
19163.0,21,6.0,0.0,1.0,5.0,1.0,4.0,F07
24966.0,44,7.0,3.0,5.0,5.0,1.0,4.0,F07
46208.0,46,11.0,0.0,0.0,11.0,1.0,5.0,F07
50411.0,7,13.0,1.0,2.0,12.0,1.0,5.0,F07
49310.0,34,10.0,0.0,0.0,10.0,1.0,5.0,F07
24840.0,20,11.0,0.0,1.0,10.0,1.0,5.0,F07
40849.0,17,14.0,1.0,1.0,14.0,1.0,5.0,F07
27499.0,18,4.0,0.0,1.0,3.0,1.0,5.0,F07
22773.0,41,11.0,0.0,1.0,10.0,1.0,5.0,F07
41723.0,56,4.0,0.0,0.0,4.0,1.0,5.0,F07
46616.0,54,6.0,0.0,0.0,6.0,1.0,5.0,F07
41390.0,13,13.0,0.0,0.0,13.0,1.0,5.0,F07
46051.0,11,6.0,3.0,3.0,6.0,1.0,5.0,F07
36690.0,22,7.0,0.0,0.0,7.0,1.0,5.0,F07
73421.0,55,6.0,0.0,0.0,6.0,1.0,5.0,F07
5538.0,52,1.0,0.0,0.0,1.0,1.0,5.0,F07
62974.0,33,10.0,2.0,2.0,10.0,1.0,5.0,F07
40017.0,43,10.0,0.0,0.0,10.0,1.0,5.0,F07
24288.0,12,8.0,1.0,3.0,6.0,1.0,5.0,F07
35923.0,58,6.0,0.0,0.0,6.0,1.0,5.0,F07
47720.0,27,8.0,0.0,0.0,8.0,1.0,5.0,F07
29766.0,36,7.0,3.0,3.0,7.0,1.0,5.0,F07
37542.0,37,3.0,1.0,2.0,2.0,1.0,5.0,F07
15382.0,9,3.0,0.0,0.0,3.0,1.0,5.0,F07
24465.0,51,3.0,0.0,0.0,3.0,1.0,5.0,F07
54131.0,21,18.0,2.0,2.0,18.0,1.0,5.0,F07
24344.0,44,7.0,1.0,3.0,5.0,1.0,5.0,F07
55216.0,59,6.0,0.0,0.0,6.0,1.0,5.0,F07
34784.0,28,6.0,0.0,0.0,6.0,1.0,5.0,F07
40264.0,32,7.0,0.0,0.0,7.0,1.0,5.0,F07
69071.0,40,12.0,0.0,0.0,12.0,1.0,5.0,F07
45894.0,6,19.0,1.0,2.0,18.0,1.0,5.0,F07
26616.0,15,3.0,0.0,0.0,3.0,1.0,5.0,F07
42350.0,25,5.0,0.0,0.0,5.0,1.0,5.0,F07
35498.0,53,5.0,0.0,0.0,5.0,1.0,5.0,F07
35758.0,35,6.0,2.0,2.0,6.0,1.0,5.0,F07
21212.0,8,5.0,0.0,0.0,5.0,1.0,5.0,F07
69900.0,45,5.0,0.0,0.0,5.0,1.0,5.0,F07
63529.0,50,13.0,0.0,0.0,13.0,1.0,5.0,F07
22965.0,19,13.0,1.0,2.0,12.0,1.0,5.0,F07
49295.0,17,12.0,0.0,0.0,12.0,2.0,0.0,F07
29248.0,16,3.0,0.0,1.0,2.0,2.0,0.0,F07
41707.0,25,8.0,1.0,2.0,7.0,2.0,0.0,F07
39475.0,22,14.0,1.0,1.0,14.0,2.0,0.0,F07
101894.0,28,23.0,0.0,2.0,21.0,2.0,0.0,F07
57948.0,12,14.0,0.0,0.0,14.0,2.0,0.0,F07
47744.0,13,19.0,1.0,2.0,18.0,2.0,0.0,F07
