Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
27818.0,47,54.66606170598911,51.60205468825782,44.60855310563482,8.0,0.0,3.0,D08
28620.0,11,68.67928541046363,69.97279014379836,65.13610916724983,13.0,0.0,3.0,D08
40213.0,35,50.6662927650028,52.43709143803006,46.60609753064929,9.0,0.0,3.0,D08
53955.0,23,50.49896136269215,53.95501420627296,50.56613844870726,13.0,0.0,3.0,D08
30240.0,19,52.4757822546078,65.2271964676443,58.11441798941799,14.0,0.0,3.0,D08
37732.0,43,48.01374775851763,55.277852235173384,49.87792854871197,9.0,0.0,3.0,D08
38855.0,22,58.92725880551302,58.16111739526834,54.73488611504311,13.0,0.0,3.0,D08
47656.0,16,56.09546351084813,58.79711199093412,54.07065217391305,12.0,0.0,3.0,D08
30941.0,14,67.87993421052632,66.60292352276927,59.308458033030604,10.0,0.0,3.0,D08
28038.0,52,40.6913680781759,56.761241873716706,47.690669805264285,7.0,0.0,3.0,D08
18976.0,37,50.180851063829785,57.00149539811132,54.12903225806452,8.0,0.0,3.0,D08
40574.0,15,60.237662337662336,67.53531318177035,62.38223985803717,13.0,0.0,3.0,D08
21644.0,54,49.51119402985075,56.90754646688907,48.928109406764,6.0,0.0,4.0,D08
18921.0,17,58.93988684582744,60.321326520841176,57.06437291897891,7.0,0.0,4.0,D08
47962.0,9,70.70601653835186,63.97313982091973,54.84160376965097,15.0,0.0,4.0,D08
24907.0,13,57.85954381752701,64.65658113431014,58.05484401975348,9.0,0.0,4.0,D08
53157.0,16,46.92938420348059,55.57189578502178,48.658125928852265,15.0,0.0,4.0,D08
41444.0,38,54.01782077393075,53.5052397637029,47.023694624071034,11.0,0.0,4.0,D08
16264.0,43,52.561052631578946,60.54917863308191,56.7836325627152,18.0,0.0,4.0,D08
59033.0,30,49.541415423675026,52.742539584115455,49.17818847085528,16.0,0.0,4.0,D08
46870.0,60,59.23519163763066,58.8966607121498,49.08553445700875,3.0,0.0,4.0,D08
53863.0,32,52.31184703331362,57.286415174441366,52.622765163470284,26.0,0.0,4.0,D08
31681.0,28,42.9739837398374,59.553187587405866,55.269467504182316,7.0,0.0,4.0,D08
51029.0,39,54.8171771392485,53.707893170063734,48.826098884947776,17.0,0.0,4.0,D08
22922.0,41,49.62051569506726,49.9299341391857,46.93255387837012,11.0,0.0,4.0,D08
31116.0,25,52.565649867374006,58.97700231981588,55.96704644482458,8.0,0.0,4.0,D08
45162.0,58,48.99470899470899,56.149567440733264,49.99107656879678,4.0,0.0,4.0,D08
46056.0,49,45.90653008962868,58.94258167617094,52.92931442593759,14.0,0.0,4.0,D08
64213.0,44,43.86179981634527,51.984598870083566,45.340445081214085,10.0,0.0,4.0,D08
